name,address,city,rating,phone #,lease length,deposit,size,rent $,tia,taylor,app fee,gym?,pool?,ameneties
San Leandro Racquet Club,2600 San Leandro Blvd,San Leandro,3 star property,,12-Month Lease Only,1000,525,2400,1500,900,30,False,True,['Package Service\nMaintenance on site\nProperty Manager on Site\nFurnished Units Available\nHealth Club Discount\nClubhouse\nLounge\nStorage Space\nSpa\nPool\nTennis Court\nHigh Speed Internet AccessAir Conditioning\nHeating\nCeiling Fans\nCable Ready\nTub/Shower\nFireplace\nDishwasher\nDisposal\nEat-in Kitchen\nKitchen\nRange\nRefrigerator']
Amber Court Apartment Homes,34050 Westchester Ter,Fremont,5 star property,844-711-2029,6 - 12 Month Leases,500,692,2695,1795,900,33,True,True,['Maintenance on site\nProperty Manager on Site\nRecycling\nRenters Insurance Program\nOnline Services\nCourtyard\nFitness Center\nCardio Machines\nFree Weights\nWeight Machines\nSauna\nPoolPlayground\nHigh Speed Internet Access\nWasher/Dryer\nAir Conditioning\nHeating\nSmoke Free\nCable Ready\nStorage Units\nTub/Shower\nFireplace\nDishwasher\nDisposal']
The Heights,2288-2300 Miramar Ave,San Leandro,4 star property,844-214-7571,6 - 12-Month,0,850,2595,1695,900,40,False,False,['Laundry Facilities\nSundeck\nOutdoor SkyLounge W/ Dual Sided Firewall\nHeating\nCable Ready\nDishwasher\nDisposal\nKitchen\nOven\nRange\nRefrigerator\nFreezerHardwood Floors\nCarpet\nViews\nLinen Closet\nBalcony\nYard\nBarbecue/Grill']
Creekwood,22294 City Center Dr,Hayward,4 star property,510-248-4814,None,0,518,3621,2721,900,45,True,True,['Package Service\nWi-Fi at Pool and Clubhouse\nLaundry Facilities\nMaintenance on site\nProperty Manager on Site\nCourtesy Patrol\nRecycling\nRenters Insurance Program\nPet Play Area\nElevator\nClubhouse\nGatedCabana\nCourtyard\nGrill\nPicnic Area\nZen Garden\nFitness Center\nSauna\nSpa\nPool\nPlayground\nTennis Court\nPutting Greens']
Seventy Harlan Apartments,70 Harlan St,San Leandro,4 star property,844-636-3363,1 year,0,650,2395,1495,900,35,True,False,['Laundry Facilities\nControlled Access\nProperty Manager on Site\n24 Hour Availability\nClubhouse\nGated\nCourtyard\nFitness Center\n$30/mo parking\n1 cat ok w/$25 pet rent\n70 harlan\ncarpetceiling fan\ncherry shaker kitchen cabinets\ncontempoary appliances\ncontrolled access\ncustom decor paint\nelectric heater\ngranite counters\nnew carpet\non-site laundry\nupdated kitchen\nHigh Speed Internet Access\nHeating']
San Leandro Racquet Club,2600 San Leandro Blvd,San Leandro,3 star property,,12-Month Lease Only,1000,525,2400,1500,900,30,False,True,['Package Service\nMaintenance on site\nProperty Manager on Site\nFurnished Units Available\nHealth Club Discount\nClubhouse\nLounge\nStorage Space\nSpa\nPool\nTennis Court\nHigh Speed Internet AccessAir Conditioning\nHeating\nCeiling Fans\nCable Ready\nTub/Shower\nFireplace\nDishwasher\nDisposal\nEat-in Kitchen\nKitchen\nRange\nRefrigerator']
Berkeley Apartments - Berkeleyan,1916 Oxford St,Berkeley,5 star property,844-623-2247,Flexible terms,500,454,5589,4689,900,47,False,False,['Package Service\nGated\nSmoke Free Living\nDishwasher']
The Lofts at Albert Park,155 Andersen Dr,San Rafael,5 star property,415-226-7674,Variable,300,475919,5212,4312,900,42,True,True,['24 Hour Availability\nPet Care\nElevator\nCourtyard\nFitness Center\nSpa\nFire Pit\nOnline Rent Payment & Service Requests\nPet-Friendly Community\nProfessional On-site Management\nProfessionally Landscaped\nConcrete Flooring*Fully-Equipped Kitchen\nHigh Speed Internet Access\nIn Select Apartment Homes*\nPrivate Deck\nSpacious Walk-In Closets*\nStackable Washer & Dryer Included\nWired for Technology Needs\nHigh Speed Internet Access\nWasher/Dryer\nCeiling Fans\nSmoke Free\nDishwasher']
Summerhill Terrace Apartments,15267 Hesperian Blvd,San Leandro,5 star property,888-508-2502,6 or 12 Months,0,500,2399,1499,900,40,False,True,['Package Service\nLaundry Facilities\nControlled Access\nMaintenance on site\nProperty Manager on Site\nLaundry Service\nElevator\nSundeck\nCourtyard\nPool\n5 Laundry Facilities\nBuilt-In MicrowaveBuilt-In Shelving\nEach Room Heat Controlled\nElectric Range\nFire Alarm System\nGarbage Disposal\nHot Tub\nOversized Closet\nPatio/Balcony\nHeating\nCeiling Fans\nCable Ready\nTub/Shower']
Woodchase Apartment Homes,2795 San Leandro Blvd,San Leandro,5 star property,844-822-2360,None,800,476,2925,2025,900,44,True,True,['Laundry Facilities\nControlled Access\nMaintenance on site\nProperty Manager on Site\nCourtesy Patrol\nClubhouse\nGated\nGrill\nPicnic Area\nFitness Center\nSpa\nPool19-foot cathedral ceilings\nCarpeting\nCarport\nCourtyard\nFireplace\nPatio/Balcony\nRefrigerator\nHigh Speed Internet Access\nCable Ready\nSatellite TV\nDishwasher\nDisposal']
Northridge,235 Camelback Rd,Pleasant Hill,5 star property,844-581-5884,Flexible terms,0,772,3993,3093,900,47,True,True,['Laundry Facilities\nStorage Space\nGated\nFitness Center\nSauna\nSpa\nPool\nSmoke Free Living\nWasher/Dryer\nAir Conditioning\nCeiling Fans\nFireplaceDishwasher\nWalk-In Closets']
1038 on Second Lafayette,1038 on 2nd St,Lafayette,4 star property,844-860-3262,6-12 Months,500,868,3300,2400,900,47,True,True,['Community-Wide WiFi\nLaundry Facilities\nMaintenance on site\n24 Hour Availability\nOnline Services\nLounge\nCoffee Bar\nFitness Center\nCardio Machines\nFree Weights\nPool\nPlaygroundHigh Speed Internet Access\nWasher/Dryer\nAir Conditioning\nHeating\nCeiling Fans\nSmoke Free\nCable Ready\nStorage Units\nTub/Shower\nDishwasher\nDisposal\nStainless Steel Appliances']
Diablo Pointe,1450 Creekside Dr,Walnut Creek,5 star property,925-395-4507,Month-to-month 6 Months 9 Month 12 Months,400,590,2395,1495,900,25,True,True,['Package Service\nLaundry Facilities\nMaintenance on site\nProperty Manager on Site\nCourtesy Patrol\nCourtyard\nFitness Center\nPool\nWalking/Biking Trails\nAir Conditioning\nHeating\nCeiling FansSmoke Free\nCable Ready\nTub/Shower\nDishwasher\nDisposal\nPantry\nKitchen\nMicrowave\nOven\nRange\nRefrigerator\nBreakfast Nook']
The Retreat,1459 Creekside Dr,Walnut Creek,5 star property,925-289-7733,None,400,497,3492,2592,900,42,True,True,['Package Service\nMaintenance on site\nConcierge\nCourtesy Patrol\n24 Hour Availability\nElevator\nClubhouse\nGated\nFitness Center\nFree Weights\nSpa\nPoolAir Conditioner\nBBQ/Picnic Area\nCable Ready\nCoffee Bar\nControlled Access\nDual Pane Windows\nDual Pane Windows with Custom Blinds\nGarbage Disposal\nGranite Countertops\nGranite Counter-tops\nHardwood Inspired Floors\nMahogany Color Cabinetry']
15fifty5,1555 Riviera Ave,Walnut Creek,5 star property,844-757-7666,7 8 9 10 11 12 13 14,0,500,3117,2217,900,47,True,True,['Controlled Access\nMaintenance on site\nProperty Manager on Site\nOnline Services\nBusiness Center\nRooftop Lounge\nSundeck\nFitness Center\nCardio Machines\nFree Weights\nWeight Machines\nSpaPool\n24-Hour State of the Art Fitness Center\nCeasarstone or Granite Countertops\nClose to Hwy 680 & Hwy 24\nControlled-access parking\nGarages Available\nGas Grills and Outdoor Dining Spaces\nHardwood-inspired Flooring\nModern Brushed Nickel Finishes\nOnline Maintenance Requests\nOnline Rental Payments\nOnline Resident Portal']
Las Ventanas,3819 Vineyard Ave,Pleasanton,4 star property,844-799-2960,12 months,600,875,3250,2350,900,47,True,True,['Laundry Facilities\nRecycling\nLaundry Service\nBusiness Center\nClubhouse\nCourtyard\nFitness Center\nSpa\nPool\nPlayground\nHigh Speed Internet Access\nAir ConditioningHeating\nCeiling Fans\nSmoke Free\nCable Ready\nDishwasher\nDisposal\nGranite Countertops\nEat-in Kitchen\nKitchen\nRefrigerator\nViews\nBalcony']
Anton Hacienda,5723 W Las Positas Blvd,Pleasanton,5 star property,844-829-4241,10-14 Months,0,656,3902,3002,900,45,True,True,['Courtesy Patrol\nClubhouse\nGrill\nPicnic Area\nFitness Center\nSpa\nPool\nPlayground\nCentral A/c and Heating\nFree Yoga classes on Saturdays at 10am\nWasher/Dryer\nHeatingDishwasher\nDisposal\nStainless Steel Appliances\nKitchen\nMicrowave\nOven\nRange']
Gatewood Apartments,3992 Stoneridge Dr,Pleasanton,5 star property,844-328-1952,Variable,500,633,3793,2893,900,48,True,True,|['Clubhouse\nFitness Center\nPool\n24hr. Emergency maintenance\nClose Proximity to Shopping, Restaurants, & ...\nExpansive Sundeck\nJacuzzi\nOn-site Management\nPet-friendly Community\nPond with Fountain Feature\nProfessionally Landscaped\nResident LoungeBrand-new Flooring\nFull-sized Washer & Dryer\nFully-equipped Kitchen\nIn Select Apartment Homes*\nUpgraded Cabinetry\nVaulted Ceilings\nAir Conditioning\nCeiling Fans\nFireplace\nMicrowave\nBalcony\nPatio']|
Avana Stoneridge,5505 Springhouse Dr,Pleasanton,5 star property,510-936-7010,None,500,570,3787,2887,900,48,True,True,['Renters Insurance Program\nOnline Services\nPet Care\nClubhouse\nLounge\nCoffee Bar\nFitness Center\nSpa\nPlayground\nBreakfast Bar\nEasy-Care Tiled Entryways\nEmergency MaintenanceHeated Swimming Pool\nPest Control Service\nPet Friendly Community\nProfessional Landscaping\nPublic Transportation\nResident BBQ Area\nSprinkler System for Fire Safety\nStorage Space\nVaulted Ceilings in Select Homes\nWhirlpool Appliances\nWi - Fi Access In Clubhouse\nWi-Fi Access in Clubhouse']
Galloway,4410 Hacienda Dr,Pleasanton,5 star property,650-376-0804,6-15 Months,0,591,3472,2572,900,45,True,True,['Package Service\nMaintenance on site\nCourtesy Patrol\nElevator\nClubhouse\nLounge\nConference Room\nSundeck\nFitness Center\nFree Weights\nSpa\nPoolWasher/Dryer\nAir Conditioning\nHeating\nSmoke Free\nStorage Units\nDishwasher\nDisposal\nMicrowave\nRange\nRefrigerator\nWalk-In Closets\nWindow Coverings']
Sofi Dublin,7100 San Ramon Rd,Dublin,5 star property,844-525-8297,,0,920,2679,1779,900,48,False,True,|['Property Manager on Site\nAir Conditioning\nAllows Pets\nAvailability 24 Hours\nBART mile away at Stoneridge Mall\nCable Ready\nCarport\nCeiling Fan\nCentral Heat\nClose to Shopping, Dining, Bus Routes and Much Mor\nCommunity Wifi\nConventional KitchenCourtesy Patrol\nCourtyard\nDog Park\nEasy Freeway Access\nElectric Vehicle Charging Stations\nExcellent School District!!\nFriendly On-site Management and Maintenance staff\nGarbage Disposal\nGuest Parking\nHeated Pool & Spa\nIn Home Washer and Dryer\nLarge Closets']|
Parc88,4445 Stevenson Blvd,Fremont,4 star property,844-234-1843,12 months,99,987,2850,1950,900,35,False,True,|['Laundry Facilities\nProperty Manager on Site\n24 Hour Availability\nRecycling\nPool\nOn Site Manager\nTwo Swimming Pool, Quartz Countertops\nTwo Swimming Pools, Quartz Countertops\nHigh Speed Internet Access\nWasher/Dryer\nAir Conditioning\nHeatingCeiling Fans\nSmoke Free\nTub/Shower\nDishwasher\nDisposal\nStainless Steel Appliances\nPantry\nKitchen\nOven\nRefrigerator\nHardwood Floors\nBalcony']|
Hurst Highland Village,29843 Clearbrook Cir,Hayward,5 star property,888-342-1215,1-12 months,1300,836,2900,2000,900,35,True,True,|['Recycling\nLounge\nFitness Center\nSauna\nPool\n*in select units\nCats Welcome\nNear Garin Regional Park\nOnline Rent Payment\nOnline Service Requests\nParking Available\nSan Mateo Bridge, 880 & 92 NearbySpacious Floorplans\nVaulted Ceilings*\nWalking Trails\nHeating\nCeiling Fans\nFireplace\nDishwasher\nKitchen\nMicrowave\nRange\nViews\nWalk-In Closets']|
Hillcrest Apartment Homes,26970 Hayward Blvd,Hayward,5 star property,844-822-9427,,600,816,2750,1850,900,45,True,True,['Package Service\nLaundry Facilities\nMaintenance on site\nProperty Manager on Site\nClubhouse\nStorage Space\nFitness Center\nSauna\nSpa\nPool\nHigh Speed Internet Access\nWasher/DryerAir Conditioning\nCeiling Fans\nSmoke Free\nCable Ready\nStorage Units\nFireplace\nWheelchair Accessible (Rooms)\nDishwasher\nDisposal\nMicrowave\nOven\nVaulted Ceiling']
Cinnamon Apartments,23924 2nd St,Hayward,4 star property,510-255-2985,12,0,900,2295,1395,900,40,False,False,['Laundry Facilities\nProperty Manager on Site\nSecurity System\nRecycling\nElevator\nGated\nGrill\n24 hour video recording system.\nfull kitchen\ngated community\ngreat view\nminutes to hayward bart stationon-site staff\nprivate balcony/patio\nsmart locks\nstainless appliances\nHigh Speed Internet Access\nHeating\nSmoke Free\nCable Ready\nIntercom\nDishwasher\nDisposal\nGranite Countertops']
Park Orchard,605 Orchard Ave,Hayward,4 star property,844-635-0348,,600,900,2800,1900,900,40,True,True,['Laundry Facilities\n24 Hour Availability\nClubhouse\nStorage Space\nGated\nFitness Center\nSauna\nPool\nPlayground\nVaulted Ceilings\nCeiling Fans\nSmoke FreeStorage Units\nDishwasher\nDisposal\nMicrowave\nRange\nWindow Coverings\nBalcony\nPatio']
Creekwood,22294 City Center Dr,Hayward,4 star property,510-248-4814,None,0,518,3621,2721,900,45,True,True,['Package Service\nWi-Fi at Pool and Clubhouse\nLaundry Facilities\nMaintenance on site\nProperty Manager on Site\nCourtesy Patrol\nRecycling\nRenters Insurance Program\nPet Play Area\nElevator\nClubhouse\nGatedCabana\nCourtyard\nGrill\nPicnic Area\nZen Garden\nFitness Center\nSauna\nSpa\nPool\nPlayground\nTennis Court\nPutting Greens']
